scenario,which_arm_restricted,num_agents,p,inertia,sim_id,agent_id,was_correct,time_to_lock
baseline,N/A,9,0.6,5,20,0,False,1
baseline,N/A,9,0.6,5,20,1,False,1
baseline,N/A,9,0.6,5,20,2,False,1
baseline,N/A,9,0.6,5,20,3,False,1
baseline,N/A,9,0.6,5,20,4,False,1
baseline,N/A,9,0.6,5,20,5,False,1
baseline,N/A,9,0.6,5,20,6,False,1
baseline,N/A,9,0.6,5,20,7,False,1
baseline,N/A,9,0.6,5,20,8,False,1
baseline,N/A,9,0.6,5,21,0,True,1
baseline,N/A,9,0.6,5,21,1,True,1
baseline,N/A,9,0.6,5,21,2,True,1
baseline,N/A,9,0.6,5,21,3,True,1
baseline,N/A,9,0.6,5,21,4,True,1
baseline,N/A,9,0.6,5,21,5,True,1
baseline,N/A,9,0.6,5,21,6,True,1
baseline,N/A,9,0.6,5,21,7,True,1
baseline,N/A,9,0.6,5,21,8,True,1
baseline,N/A,9,0.6,5,22,0,True,31
baseline,N/A,9,0.6,5,22,1,True,31
baseline,N/A,9,0.6,5,22,2,True,31
baseline,N/A,9,0.6,5,22,3,True,31
baseline,N/A,9,0.6,5,22,4,True,31
baseline,N/A,9,0.6,5,22,5,True,31
baseline,N/A,9,0.6,5,22,6,True,31
baseline,N/A,9,0.6,5,22,7,True,31
baseline,N/A,9,0.6,5,22,8,True,31
baseline,N/A,9,0.6,5,23,0,False,1
baseline,N/A,9,0.6,5,23,1,False,1
baseline,N/A,9,0.6,5,23,2,False,1
baseline,N/A,9,0.6,5,23,3,False,1
baseline,N/A,9,0.6,5,23,4,False,1
baseline,N/A,9,0.6,5,23,5,False,1
baseline,N/A,9,0.6,5,23,6,False,1
baseline,N/A,9,0.6,5,23,7,False,1
baseline,N/A,9,0.6,5,23,8,False,1
baseline,N/A,9,0.6,5,24,0,True,1
baseline,N/A,9,0.6,5,24,1,True,1
baseline,N/A,9,0.6,5,24,2,True,1
baseline,N/A,9,0.6,5,24,3,True,1
baseline,N/A,9,0.6,5,24,4,True,1
baseline,N/A,9,0.6,5,24,5,True,1
baseline,N/A,9,0.6,5,24,6,True,1
baseline,N/A,9,0.6,5,24,7,True,1
baseline,N/A,9,0.6,5,24,8,True,1
baseline,N/A,9,0.6,5,25,0,True,3
baseline,N/A,9,0.6,5,25,1,True,3
baseline,N/A,9,0.6,5,25,2,True,3
baseline,N/A,9,0.6,5,25,3,True,3
baseline,N/A,9,0.6,5,25,4,True,3
baseline,N/A,9,0.6,5,25,5,True,3
baseline,N/A,9,0.6,5,25,6,True,3
baseline,N/A,9,0.6,5,25,7,True,3
baseline,N/A,9,0.6,5,25,8,True,3
baseline,N/A,9,0.6,5,26,0,True,16
baseline,N/A,9,0.6,5,26,1,True,16
baseline,N/A,9,0.6,5,26,2,True,16
baseline,N/A,9,0.6,5,26,3,True,16
baseline,N/A,9,0.6,5,26,4,True,16
baseline,N/A,9,0.6,5,26,5,True,16
baseline,N/A,9,0.6,5,26,6,True,16
baseline,N/A,9,0.6,5,26,7,True,16
baseline,N/A,9,0.6,5,26,8,True,16
