scenario,which_arm_restricted,num_agents,p,sim_id,agent_id,was_correct,time_to_lock
restrict_dissemination,other,9,0.5,306,6,True,91
restrict_dissemination,other,9,0.5,306,7,True,1
restrict_dissemination,other,9,0.5,306,8,True,7
restrict_dissemination,other,9,0.5,307,0,True,24
restrict_dissemination,other,9,0.5,307,1,True,6
restrict_dissemination,other,9,0.5,307,2,True,24
restrict_dissemination,other,9,0.5,307,3,True,1
restrict_dissemination,other,9,0.5,307,4,True,96
restrict_dissemination,other,9,0.5,307,5,True,1
restrict_dissemination,other,9,0.5,307,6,True,1
restrict_dissemination,other,9,0.5,307,7,True,20
restrict_dissemination,other,9,0.5,307,8,True,3
restrict_dissemination,target,9,0.5,308,0,False,21
restrict_dissemination,target,9,0.5,308,1,False,11
restrict_dissemination,target,9,0.5,308,2,False,27
restrict_dissemination,target,9,0.5,308,3,False,16
restrict_dissemination,target,9,0.5,308,4,False,4
restrict_dissemination,target,9,0.5,308,5,False,20
restrict_dissemination,target,9,0.5,308,6,False,12
restrict_dissemination,target,9,0.5,308,7,False,62
restrict_dissemination,target,9,0.5,308,8,False,5
restrict_dissemination,other,9,0.5,309,0,True,15
restrict_dissemination,other,9,0.5,309,1,True,19
restrict_dissemination,other,9,0.5,309,2,True,7
restrict_dissemination,other,9,0.5,309,3,True,1
restrict_dissemination,other,9,0.5,309,4,True,3
restrict_dissemination,other,9,0.5,309,5,True,9
restrict_dissemination,other,9,0.5,309,6,True,9
restrict_dissemination,other,9,0.5,309,7,True,1
restrict_dissemination,other,9,0.5,309,8,True,30
restrict_dissemination,target,9,0.5,310,0,True,1
restrict_dissemination,target,9,0.5,310,1,True,1
restrict_dissemination,target,9,0.5,310,2,True,1
restrict_dissemination,target,9,0.5,310,3,True,90
restrict_dissemination,target,9,0.5,310,4,False,27
restrict_dissemination,target,9,0.5,310,5,True,1
restrict_dissemination,target,9,0.5,310,6,False,54
restrict_dissemination,target,9,0.5,310,7,True,79
restrict_dissemination,target,9,0.5,310,8,False,3
restrict_dissemination,target,9,0.5,311,0,True,86
restrict_dissemination,target,9,0.5,311,1,False,8
restrict_dissemination,target,9,0.5,311,2,False,43
restrict_dissemination,target,9,0.5,311,3,False,39
restrict_dissemination,target,9,0.5,311,4,True,30
restrict_dissemination,target,9,0.5,311,5,False,54
restrict_dissemination,target,9,0.5,311,6,True,1
restrict_dissemination,target,9,0.5,311,7,False,55
restrict_dissemination,target,9,0.5,311,8,False,15
restrict_dissemination,target,9,0.5,312,0,False,1
restrict_dissemination,target,9,0.5,312,1,False,25
restrict_dissemination,target,9,0.5,312,2,False,1
restrict_dissemination,target,9,0.5,312,3,False,3
restrict_dissemination,target,9,0.5,312,4,False,60
restrict_dissemination,target,9,0.5,312,5,False,1
restrict_dissemination,target,9,0.5,312,6,False,1
restrict_dissemination,target,9,0.5,312,7,False,1
restrict_dissemination,target,9,0.5,312,8,False,44
restrict_dissemination,target,9,0.5,313,0,False,92
restrict_dissemination,target,9,0.5,313,1,False,91
restrict_dissemination,target,9,0.5,313,2,False,1
restrict_dissemination,target,9,0.5,313,3,False,9
restrict_dissemination,target,9,0.5,313,4,False,9
restrict_dissemination,target,9,0.5,313,5,False,9
restrict_dissemination,target,9,0.5,313,6,False,101
restrict_dissemination,target,9,0.5,313,7,False,1
restrict_dissemination,target,9,0.5,313,8,False,9
restrict_dissemination,target,9,0.5,314,0,False,1
restrict_dissemination,target,9,0.5,314,1,False,3
restrict_dissemination,target,9,0.5,314,2,False,6
restrict_dissemination,target,9,0.5,314,3,False,1
restrict_dissemination,target,9,0.5,314,4,False,1
restrict_dissemination,target,9,0.5,314,5,False,1
restrict_dissemination,target,9,0.5,314,6,False,3
restrict_dissemination,target,9,0.5,314,7,False,1
restrict_dissemination,target,9,0.5,314,8,False,24
restrict_dissemination,target,9,0.5,315,0,False,91
restrict_dissemination,target,9,0.5,315,1,False,100
restrict_dissemination,target,9,0.5,315,2,False,9
restrict_dissemination,target,9,0.5,315,3,False,73
restrict_dissemination,target,9,0.5,315,4,True,1
restrict_dissemination,target,9,0.5,315,5,False,9
restrict_dissemination,target,9,0.5,315,6,False,14
restrict_dissemination,target,9,0.5,315,7,False,9
restrict_dissemination,target,9,0.5,315,8,False,73
restrict_dissemination,other,9,0.5,316,0,True,14
restrict_dissemination,other,9,0.5,316,1,True,32
restrict_dissemination,other,9,0.5,316,2,True,1
restrict_dissemination,other,9,0.5,316,3,True,1
restrict_dissemination,other,9,0.5,316,4,True,17
restrict_dissemination,other,9,0.5,316,5,True,1
restrict_dissemination,other,9,0.5,316,6,True,1
restrict_dissemination,other,9,0.5,316,7,True,9
restrict_dissemination,other,9,0.5,316,8,True,4
restrict_dissemination,other,9,0.5,317,0,True,1
restrict_dissemination,other,9,0.5,317,1,True,1
restrict_dissemination,other,9,0.5,317,2,True,3
restrict_dissemination,other,9,0.5,317,3,True,38
restrict_dissemination,other,9,0.5,317,4,True,1
restrict_dissemination,other,9,0.5,317,5,True,1
restrict_dissemination,other,9,0.5,317,6,True,4
restrict_dissemination,other,9,0.5,317,7,True,4
restrict_dissemination,other,9,0.5,317,8,True,7
restrict_dissemination,target,9,0.5,318,0,False,46
restrict_dissemination,target,9,0.5,318,1,False,5
restrict_dissemination,target,9,0.5,318,2,True,1
restrict_dissemination,target,9,0.5,318,3,False,4
restrict_dissemination,target,9,0.5,318,4,False,3
restrict_dissemination,target,9,0.5,318,5,False,41
restrict_dissemination,target,9,0.5,318,6,False,41
restrict_dissemination,target,9,0.5,318,7,False,4
restrict_dissemination,target,9,0.5,318,8,False,82
restrict_dissemination,other,9,0.5,319,0,False,70
restrict_dissemination,other,9,0.5,319,1,True,1
