scenario,which_arm_restricted,num_agents,p,epsilon,sim_id,agent_id,was_correct,time_to_lock
restrict_dissemination,target,9,0.6,0.1,724,1,True,1
restrict_dissemination,target,9,0.6,0.1,724,2,True,60
restrict_dissemination,target,9,0.6,0.1,724,3,True,54
restrict_dissemination,target,9,0.6,0.1,724,4,True,22
restrict_dissemination,target,9,0.6,0.1,724,5,True,47
restrict_dissemination,target,9,0.6,0.1,724,6,True,95
restrict_dissemination,target,9,0.6,0.1,724,7,True,47
restrict_dissemination,target,9,0.6,0.1,724,8,True,64
restrict_dissemination,other,9,0.6,0.1,725,0,True,17
restrict_dissemination,other,9,0.6,0.1,725,1,True,3
restrict_dissemination,other,9,0.6,0.1,725,2,True,6
restrict_dissemination,other,9,0.6,0.1,725,3,True,71
restrict_dissemination,other,9,0.6,0.1,725,4,True,11
restrict_dissemination,other,9,0.6,0.1,725,5,True,91
restrict_dissemination,other,9,0.6,0.1,725,6,True,10
restrict_dissemination,other,9,0.6,0.1,725,7,True,27
restrict_dissemination,other,9,0.6,0.1,725,8,True,1
restrict_dissemination,other,9,0.6,0.1,726,0,True,10
restrict_dissemination,other,9,0.6,0.1,726,1,True,7
restrict_dissemination,other,9,0.6,0.1,726,2,True,58
restrict_dissemination,other,9,0.6,0.1,726,3,False,101
restrict_dissemination,other,9,0.6,0.1,726,4,False,90
restrict_dissemination,other,9,0.6,0.1,726,5,True,1
restrict_dissemination,other,9,0.6,0.1,726,6,True,1
restrict_dissemination,other,9,0.6,0.1,726,7,False,101
restrict_dissemination,other,9,0.6,0.1,726,8,False,8
restrict_dissemination,target,9,0.6,0.1,727,0,True,3
restrict_dissemination,target,9,0.6,0.1,727,1,True,6
restrict_dissemination,target,9,0.6,0.1,727,2,True,4
restrict_dissemination,target,9,0.6,0.1,727,3,True,4
restrict_dissemination,target,9,0.6,0.1,727,4,True,6
restrict_dissemination,target,9,0.6,0.1,727,5,True,1
restrict_dissemination,target,9,0.6,0.1,727,6,True,45
restrict_dissemination,target,9,0.6,0.1,727,7,True,1
restrict_dissemination,target,9,0.6,0.1,727,8,True,25
restrict_dissemination,target,9,0.6,0.1,728,0,True,1
restrict_dissemination,target,9,0.6,0.1,728,1,True,11
restrict_dissemination,target,9,0.6,0.1,728,2,True,1
restrict_dissemination,target,9,0.6,0.1,728,3,True,3
restrict_dissemination,target,9,0.6,0.1,728,4,True,16
restrict_dissemination,target,9,0.6,0.1,728,5,True,24
restrict_dissemination,target,9,0.6,0.1,728,6,True,24
restrict_dissemination,target,9,0.6,0.1,728,7,True,26
restrict_dissemination,target,9,0.6,0.1,728,8,True,4
restrict_dissemination,target,9,0.6,0.1,729,0,True,1
restrict_dissemination,target,9,0.6,0.1,729,1,True,1
restrict_dissemination,target,9,0.6,0.1,729,2,False,1
restrict_dissemination,target,9,0.6,0.1,729,3,True,1
restrict_dissemination,target,9,0.6,0.1,729,4,True,1
restrict_dissemination,target,9,0.6,0.1,729,5,True,1
restrict_dissemination,target,9,0.6,0.1,729,6,True,10
restrict_dissemination,target,9,0.6,0.1,729,7,True,1
restrict_dissemination,target,9,0.6,0.1,729,8,True,13
restrict_dissemination,other,9,0.6,0.1,730,0,True,1
restrict_dissemination,other,9,0.6,0.1,730,1,True,3
