scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,default,n_steps,n_success,n_runs,avg_total_succ_pulls,min_total_succ_pulls,median_total_succ_pulls,max_total_succ_pulls,stnd_dev_total_succ_pulls,avg_ca_time_to_converge,min_ca_time_to_converge,median_ca_time_to_converge,max_ca_time_to_converge,stnd_dev_ca_time_to_converge,avg_group_time_to_converge,min_group_time_to_converge,median_group_time_to_converge,max_group_time_to_converge,stnd_dev_group_time_to_converge,times_group_converged
baseline,complete,N/A,0.5,0.9100000000000004,9,N/A,1000,994,1000,8943.43,0,9000.0,9000,695.2151372776633,1.294,1,1.0,71,2.5506007135574946,1.338,1,1.0,71,2.559639818411958,1000
restrict_dissemination,star,random,0.5,0.9100000000000004,9,-1,1000,1000,1000,8618.875,1998,9000.0,9000,849.7567283493553,1.231,1,1.0,69,2.3650875248074867,5.573623559539053,1,1.0,344,23.906695943637196,781
baseline,complete,N/A,0.5,0.9300000000000004,9,N/A,1000,998,1000,8980.003,0,9000.0,9000,403.1066719752972,1.22,1,1.0,104,3.3192770297159586,1.26,1,1.0,104,3.3278221106303145,1000
restrict_dissemination,star,random,0.5,0.9300000000000004,9,-1,1000,1000,1000,8731.018,1998,9000.0,9000,666.5131744204311,1.095,1,1.0,12,0.5726910161684047,8.500600240096038,1,1.0,831,52.39498442978311,833
baseline,complete,N/A,0.5,0.9500000000000004,9,N/A,1000,998,1000,8980.945,0,9000.0,9000,402.1149810377624,1.114,1,1.0,21,0.8443956418646414,1.145,1,1.0,22,0.9022056306629881,1000
restrict_dissemination,star,random,0.5,0.9500000000000004,9,-1,1000,1000,1000,8788.681,3994,9000.0,9000,600.8398532379489,1.162,1,1.0,61,2.1949387235182676,10.11340206185567,1,1.0,798,55.44479905719212,873
baseline,complete,N/A,0.5,0.9700000000000004,9,N/A,1000,1000,1000,8998.321,7917,9000.0,9000,34.37548485476241,1.186,1,1.0,121,3.8117455319052964,1.211,1,1.0,122,3.8455791501411065,1000
restrict_dissemination,star,random,0.5,0.9700000000000004,9,-1,1000,1000,1000,8854.527,1910,9000.0,9000,553.557448934616,1.83,1,1.0,788,24.874426626557643,9.029252437703143,1,1.0,967,58.12078999708584,923
baseline,complete,N/A,0.5,0.9900000000000004,9,N/A,1000,1000,1000,8999.438,8796,9000.0,9000,6.78027698549255,1.064,1,1.0,24,0.7693529749081367,1.087,1,1.0,24,0.7921054222766057,1000
restrict_dissemination,star,random,0.5,0.9900000000000004,9,-1,1000,1000,1000,8907.603,2993,9000.0,9000,435.924935500368,1.023,1,1.0,2,0.14990330216509576,9.22338204592902,1,1.0,790,48.81129994520193,958
