network_structure,ps[0],ps[1],num_agents,default,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,N/A,1000,1000,0.514,5.14,50004786.8
complete,0.5,0.5001,10,N/A,1010,1000,0.514,5.14,50504892.29
complete,0.5,0.5001,10,N/A,1020,1000,0.514,5.14,51004892.52
complete,0.5,0.5001,10,N/A,1030,1000,0.514,5.14,51504954.12
complete,0.5,0.5001,10,N/A,1040,1000,0.514,5.14,52005021.81
complete,0.5,0.5001,10,N/A,1050,1000,0.514,5.14,52504949.19
complete,0.5,0.5001,10,N/A,1060,1000,0.514,5.14,53005024.8
complete,0.5,0.5001,10,N/A,1070,1000,0.514,5.14,53505050.18
complete,0.5,0.5001,10,N/A,1080,1000,0.514,5.14,54005092.53
complete,0.5,0.5001,10,N/A,1090,1000,0.514,5.14,54505129.78
complete,0.5,0.5001,10,N/A,1100,1000,0.514,5.14,55005132.88
complete,0.5,0.5001,10,N/A,1110,1000,0.514,5.14,55505226.0
complete,0.5,0.5001,10,N/A,1120,1000,0.514,5.14,56005222.61
complete,0.5,0.5001,10,N/A,1130,1000,0.514,5.14,56505252.99
complete,0.5,0.5001,10,N/A,1140,1000,0.514,5.14,57005258.94
complete,0.5,0.5001,10,N/A,1150,1000,0.514,5.14,57505306.53
complete,0.5,0.5001,10,N/A,1160,1000,0.514,5.14,58005327.47
complete,0.5,0.5001,10,N/A,1170,1000,0.514,5.14,58505393.21
complete,0.5,0.5001,10,N/A,1180,1000,0.514,5.14,59005539.02
complete,0.5,0.5001,10,N/A,1190,1000,0.514,5.14,59505639.63
complete,0.5,0.5001,10,N/A,1200,1000,0.514,5.14,60005716.85
complete,0.5,0.5001,10,N/A,1210,1000,0.514,5.14,60505783.39
complete,0.5,0.5001,10,N/A,1220,1000,0.514,5.14,61005788.97
complete,0.5,0.5001,10,N/A,1230,1000,0.514,5.14,61505732.77
complete,0.5,0.5001,10,N/A,1240,1000,0.514,5.14,62005813.37
complete,0.5,0.5001,10,N/A,1250,1000,0.514,5.14,62505779.51
complete,0.5,0.5001,10,N/A,1260,1000,0.514,5.14,63005772.5
complete,0.5,0.5001,10,N/A,1270,1000,0.514,5.14,63505819.66
complete,0.5,0.5001,10,N/A,1280,1000,0.514,5.14,64005867.78
complete,0.5,0.5001,10,N/A,1290,1000,0.514,5.14,64505917.92
complete,0.5,0.5001,10,N/A,1300,1000,0.514,5.14,65005991.56
complete,0.5,0.5001,10,N/A,1310,1000,0.514,5.14,65506037.88
complete,0.5,0.5001,10,N/A,1320,1000,0.514,5.14,66006033.3
complete,0.5,0.5001,10,N/A,1330,1000,0.514,5.14,66506083.85
complete,0.5,0.5001,10,N/A,1340,1000,0.514,5.14,67006079.04
complete,0.5,0.5001,10,N/A,1350,1000,0.514,5.14,67506175.83
complete,0.5,0.5001,10,N/A,1360,1000,0.514,5.14,68006195.48
complete,0.5,0.5001,10,N/A,1370,1000,0.514,5.14,68506278.21
complete,0.5,0.5001,10,N/A,1380,1000,0.514,5.14,69006349.31
complete,0.5,0.5001,10,N/A,1390,1000,0.514,5.14,69506379.59
complete,0.5,0.5001,10,N/A,1400,1000,0.514,5.14,70006422.36
complete,0.5,0.5001,10,N/A,1410,1000,0.514,5.14,70506568.66
complete,0.5,0.5001,10,N/A,1420,1000,0.514,5.14,71006591.11
complete,0.5,0.5001,10,N/A,1430,1000,0.514,5.14,71506610.14
complete,0.5,0.5001,10,N/A,1440,1000,0.514,5.14,72006644.24
complete,0.5,0.5001,10,N/A,1450,1000,0.514,5.14,72506727.68
complete,0.5,0.5001,10,N/A,1460,1000,0.514,5.14,73006869.72
complete,0.5,0.5001,10,N/A,1470,1000,0.514,5.14,73506888.61
complete,0.5,0.5001,10,N/A,1480,1000,0.514,5.14,74006953.18
complete,0.5,0.5001,10,N/A,1490,1000,0.514,5.14,74506917.39
complete,0.5,0.5001,10,N/A,1500,1000,0.514,5.14,75006994.91
complete,0.5,0.5001,10,N/A,1510,1000,0.514,5.14,75506974.63
complete,0.5,0.5001,10,N/A,1520,1000,0.514,5.14,76007007.1
complete,0.5,0.5001,10,N/A,1530,1000,0.514,5.14,76507094.91
complete,0.5,0.5001,10,N/A,1540,1000,0.514,5.14,77007058.46
complete,0.5,0.5001,10,N/A,1550,1000,0.514,5.14,77507047.82
complete,0.5,0.5001,10,N/A,1560,1000,0.514,5.14,78007110.07
complete,0.5,0.5001,10,N/A,1570,1000,0.514,5.14,78507141.4
complete,0.5,0.5001,10,N/A,1580,1000,0.514,5.14,79007216.67
complete,0.5,0.5001,10,N/A,1590,1000,0.514,5.14,79507145.77
complete,0.5,0.5001,10,N/A,1600,1000,0.514,5.14,80007134.86
complete,0.5,0.5001,10,N/A,1610,1000,0.514,5.14,80507153.01
complete,0.5,0.5001,10,N/A,1620,1000,0.514,5.14,81007285.0
complete,0.5,0.5001,10,N/A,1630,1000,0.514,5.14,81507319.55
complete,0.5,0.5001,10,N/A,1640,1000,0.514,5.14,82007417.18
complete,0.5,0.5001,10,N/A,1650,1000,0.514,5.14,82507517.26
complete,0.5,0.5001,10,N/A,1660,1000,0.514,5.14,83007494.23
complete,0.5,0.5001,10,N/A,1670,1000,0.514,5.14,83507497.72
complete,0.5,0.5001,10,N/A,1680,1000,0.514,5.14,84007529.32
complete,0.5,0.5001,10,N/A,1690,1000,0.514,5.14,84507564.5
complete,0.5,0.5001,10,N/A,1700,1000,0.514,5.14,85007596.9
complete,0.5,0.5001,10,N/A,1710,1000,0.514,5.14,85507633.4
complete,0.5,0.5001,10,N/A,1720,1000,0.514,5.14,86007723.22
complete,0.5,0.5001,10,N/A,1730,1000,0.514,5.14,86507698.89
complete,0.5,0.5001,10,N/A,1740,1000,0.514,5.14,87007735.51
complete,0.5,0.5001,10,N/A,1750,1000,0.514,5.14,87507738.45
complete,0.5,0.5001,10,N/A,1760,1000,0.514,5.14,88007787.21
complete,0.5,0.5001,10,N/A,1770,1000,0.514,5.14,88507839.13
