network_structure,ps[0],ps[1],num_agents,epsilon,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,0.1,1410,1000,0.597,5.97,7050784.484
complete,0.5,0.5001,10,0.1,1420,1000,0.597,5.97,7100789.549
complete,0.5,0.5001,10,0.1,1430,1000,0.596,5.96,7150793.53
complete,0.5,0.5001,10,0.1,1440,1000,0.598,5.98,7200794.767
complete,0.5,0.5001,10,0.1,1450,1000,0.599,5.99,7250802.406
complete,0.5,0.5001,10,0.1,1460,1000,0.602,6.02,7300809.087
complete,0.5,0.5001,10,0.1,1470,1000,0.597,5.97,7350811.255
complete,0.5,0.5001,10,0.1,1480,1000,0.604,6.04,7400808.207
complete,0.5,0.5001,10,0.1,1490,1000,0.597,5.97,7450816.183
complete,0.5,0.5001,10,0.1,1500,1000,0.604,6.04,7500823.692
complete,0.5,0.5001,10,0.1,1510,1000,0.606,6.06,7550831.461
complete,0.5,0.5001,10,0.1,1520,1000,0.606,6.06,7600838.189
complete,0.5,0.5001,10,0.1,1530,1000,0.604,6.04,7650844.87
complete,0.5,0.5001,10,0.1,1540,1000,0.606,6.06,7700845.735
complete,0.5,0.5001,10,0.1,1550,1000,0.603,6.03,7750850.091
complete,0.5,0.5001,10,0.1,1560,1000,0.597,5.97,7800856.148
complete,0.5,0.5001,10,0.1,1570,1000,0.599,5.99,7850859.323
complete,0.5,0.5001,10,0.1,1580,1000,0.598,5.98,7900864.509
complete,0.5,0.5001,10,0.1,1590,1000,0.601,6.01,7950873.9
complete,0.5,0.5001,10,0.1,1600,1000,0.606,6.06,8000879.377
complete,0.5,0.5001,10,0.1,1610,1000,0.603,6.03,8050887.933
complete,0.5,0.5001,10,0.1,1620,1000,0.599,5.99,8100895.587
complete,0.5,0.5001,10,0.1,1630,1000,0.6,6.0,8150902.628
complete,0.5,0.5001,10,0.1,1640,1000,0.605,6.05,8200910.823
complete,0.5,0.5001,10,0.1,1650,1000,0.599,5.99,8250914.615
complete,0.5,0.5001,10,0.1,1660,1000,0.605,6.05,8300920.839
complete,0.5,0.5001,10,0.1,1670,1000,0.613,6.13,8350937.205
complete,0.5,0.5001,10,0.1,1680,1000,0.612,6.12,8400939.692
complete,0.5,0.5001,10,0.1,1690,1000,0.612,6.12,8450939.393
complete,0.5,0.5001,10,0.1,1700,1000,0.61,6.1,8500948.996
complete,0.5,0.5001,10,0.1,1710,1000,0.614,6.14,8550945.666
complete,0.5,0.5001,10,0.1,1720,1000,0.612,6.12,8600952.463
complete,0.5,0.5001,10,0.1,1730,1000,0.613,6.13,8650950.562
complete,0.5,0.5001,10,0.1,1740,1000,0.612,6.12,8700952.696
complete,0.5,0.5001,10,0.1,1750,1000,0.612,6.12,8750964.716
complete,0.5,0.5001,10,0.1,1760,1000,0.614,6.14,8800965.104
complete,0.5,0.5001,10,0.1,1770,1000,0.613,6.13,8850972.534
complete,0.5,0.5001,10,0.1,1780,1000,0.616,6.16,8900970.603
complete,0.5,0.5001,10,0.1,1790,1000,0.611,6.11,8950977.143
complete,0.5,0.5001,10,0.1,1800,1000,0.613,6.13,9000974.961
complete,0.5,0.5001,10,0.1,1810,1000,0.624,6.24,9050978.64
complete,0.5,0.5001,10,0.1,1820,1000,0.624,6.24,9100974.761
complete,0.5,0.5001,10,0.1,1830,1000,0.623,6.23,9150986.361
complete,0.5,0.5001,10,0.1,1840,1000,0.622,6.22,9200985.423
complete,0.5,0.5001,10,0.1,1850,1000,0.624,6.24,9250996.094
complete,0.5,0.5001,10,0.1,1860,1000,0.625,6.25,9301005.243
complete,0.5,0.5001,10,0.1,1870,1000,0.626,6.26,9351011.519
complete,0.5,0.5001,10,0.1,1880,1000,0.626,6.26,9401016.124
complete,0.5,0.5001,10,0.1,1890,1000,0.618,6.18,9451031.609
complete,0.5,0.5001,10,0.1,1900,1000,0.625,6.25,9501037.266
complete,0.5,0.5001,10,0.1,1910,1000,0.622,6.22,9551044.44
complete,0.5,0.5001,10,0.1,1920,1000,0.622,6.22,9601048.547
complete,0.5,0.5001,10,0.1,1930,1000,0.633,6.33,9651055.418
complete,0.5,0.5001,10,0.1,1940,1000,0.629,6.29,9701068.912
complete,0.5,0.5001,10,0.1,1950,1000,0.634,6.34,9751077.768
complete,0.5,0.5001,10,0.1,1960,1000,0.635,6.35,9801090.824
complete,0.5,0.5001,10,0.1,1970,1000,0.636,6.36,9851099.686
complete,0.5,0.5001,10,0.1,1980,1000,0.633,6.33,9901105.365
complete,0.5,0.5001,10,0.1,1990,1000,0.627,6.27,9951108.877
complete,0.5,0.5001,10,0.1,2000,1000,0.628,6.28,10001114.728
complete,0.5,0.5001,10,0.1,2010,1000,0.621,6.21,10051126.504
complete,0.5,0.5001,10,0.1,2020,1000,0.623,6.23,10101129.742
complete,0.5,0.5001,10,0.1,2030,1000,0.619,6.19,10151115.047
complete,0.5,0.5001,10,0.1,2040,1000,0.618,6.18,10201118.892
complete,0.5,0.5001,10,0.1,2050,1000,0.622,6.22,10251127.944
complete,0.5,0.5001,10,0.1,2060,1000,0.624,6.24,10301139.472
complete,0.5,0.5001,10,0.1,2070,1000,0.621,6.21,10351146.459
complete,0.5,0.5001,10,0.1,2080,1000,0.616,6.16,10401154.298
complete,0.5,0.5001,10,0.1,2090,1000,0.624,6.24,10451160.872
complete,0.5,0.5001,10,0.1,2100,1000,0.619,6.19,10501167.068
complete,0.5,0.5001,10,0.1,2110,1000,0.623,6.23,10551169.527
complete,0.5,0.5001,10,0.1,2120,1000,0.624,6.24,10601179.442
complete,0.5,0.5001,10,0.1,2130,1000,0.624,6.24,10651178.538
complete,0.5,0.5001,10,0.1,2140,1000,0.622,6.22,10701174.995
complete,0.5,0.5001,10,0.1,2150,1000,0.627,6.27,10751188.428
complete,0.5,0.5001,10,0.1,2160,1000,0.622,6.22,10801195.825
complete,0.5,0.5001,10,0.1,2170,1000,0.62,6.2,10851197.057
complete,0.5,0.5001,10,0.1,2180,1000,0.621,6.21,10901198.167
complete,0.5,0.5001,10,0.1,2190,1000,0.627,6.27,10951202.378
complete,0.5,0.5001,10,0.1,2200,1000,0.627,6.27,11001218.863
complete,0.5,0.5001,10,0.1,2210,1000,0.63,6.3,11051214.387
complete,0.5,0.5001,10,0.1,2220,1000,0.627,6.27,11101217.271
complete,0.5,0.5001,10,0.1,2230,1000,0.637,6.37,11151220.09
complete,0.5,0.5001,10,0.1,2240,1000,0.632,6.32,11201227.094
complete,0.5,0.5001,10,0.1,2250,1000,0.628,6.28,11251237.973
complete,0.5,0.5001,10,0.1,2260,1000,0.62,6.2,11301253.417
complete,0.5,0.5001,10,0.1,2270,1000,0.623,6.23,11351256.525
complete,0.5,0.5001,10,0.1,2280,1000,0.624,6.24,11401257.781
complete,0.5,0.5001,10,0.1,2290,1000,0.628,6.28,11451256.297
complete,0.5,0.5001,10,0.1,2300,1000,0.629,6.29,11501262.741
complete,0.5,0.5001,10,0.1,2310,1000,0.631,6.31,11551275.647
complete,0.5,0.5001,10,0.1,2320,1000,0.63,6.3,11601275.987
complete,0.5,0.5001,10,0.1,2330,1000,0.629,6.29,11651284.343
complete,0.5,0.5001,10,0.1,2340,1000,0.63,6.3,11701293.713
complete,0.5,0.5001,10,0.1,2350,1000,0.631,6.31,11751307.769
complete,0.5,0.5001,10,0.1,2360,1000,0.634,6.34,11801315.833
complete,0.5,0.5001,10,0.1,2370,1000,0.629,6.29,11851319.709
complete,0.5,0.5001,10,0.1,2380,1000,0.635,6.35,11901326.979
complete,0.5,0.5001,10,0.1,2390,1000,0.631,6.31,11951337.2
complete,0.5,0.5001,10,0.1,2400,1000,0.631,6.31,12001344.364
complete,0.5,0.5001,10,0.1,2410,1000,0.631,6.31,12051356.108
complete,0.5,0.5001,10,0.1,2420,1000,0.629,6.29,12101363.334
complete,0.5,0.5001,10,0.1,2430,1000,0.635,6.35,12151371.44
complete,0.5,0.5001,10,0.1,2440,1000,0.633,6.33,12201377.637
complete,0.5,0.5001,10,0.1,2450,1000,0.636,6.36,12251387.44
complete,0.5,0.5001,10,0.1,2460,1000,0.636,6.36,12301386.827
complete,0.5,0.5001,10,0.1,2470,1000,0.642,6.42,12351399.064
complete,0.5,0.5001,10,0.1,2480,1000,0.643,6.43,12401397.978
complete,0.5,0.5001,10,0.1,2490,1000,0.645,6.45,12451410.756
complete,0.5,0.5001,10,0.1,2500,1000,0.642,6.42,12501414.071
complete,0.5,0.5001,10,0.1,2510,1000,0.645,6.45,12551424.3
complete,0.5,0.5001,10,0.1,2520,1000,0.637,6.37,12601425.835
complete,0.5,0.5001,10,0.1,2530,1000,0.645,6.45,12651431.745
complete,0.5,0.5001,10,0.1,2540,1000,0.646,6.46,12701444.897
complete,0.5,0.5001,10,0.1,2550,1000,0.644,6.44,12751444.458
complete,0.5,0.5001,10,0.1,2560,1000,0.643,6.43,12801453.269
complete,0.5,0.5001,10,0.1,2570,1000,0.642,6.42,12851464.036
complete,0.5,0.5001,10,0.1,2580,1000,0.647,6.47,12901472.332
complete,0.5,0.5001,10,0.1,2590,1000,0.646,6.46,12951483.216
complete,0.5,0.5001,10,0.1,2600,1000,0.651,6.51,13001488.85
complete,0.5,0.5001,10,0.1,2610,1000,0.647,6.47,13051491.919
complete,0.5,0.5001,10,0.1,2620,1000,0.646,6.46,13101498.115
complete,0.5,0.5001,10,0.1,2630,1000,0.648,6.48,13151500.657
complete,0.5,0.5001,10,0.1,2640,1000,0.649,6.49,13201510.247
complete,0.5,0.5001,10,0.1,2650,1000,0.648,6.48,13251514.118
complete,0.5,0.5001,10,0.1,2660,1000,0.649,6.49,13301520.843
complete,0.5,0.5001,10,0.1,2670,1000,0.654,6.54,13351526.234
complete,0.5,0.5001,10,0.1,2680,1000,0.649,6.49,13401529.921
